Listing of Port and Protocol, with known attacks. 13-May-03

A frequent visitor sent me the following table:
     Port  Protocol    Keyword                  D e s c r i p t i o n
   656     tcp         spmp                     SPMP 
   656     udp         spmp                     SPMP 
   657     tcp         rmc                      RMC 
   657     udp         rmc                      RMC 
   658     tcp         tenfold                  TenFold 
   658     udp         tenfold                  TenFold 
   659     tcp         url-rendezvous           URL Rendezvous 
   659     udp         url-rendezvous           URL Rendezvous 
   660     tcp         mac-srvr-admin           MacOS Server Admin 
   660     udp         mac-srvr-admin           MacOS Server Admin 
   661     tcp         hap                      HAP 
   661     udp         hap                      HAP 
   661     tcp         NokNok                   [trojan] NokNok 
   662     tcp         pftp                     PFTP 
   662     udp         pftp                     PFTP 
   663     tcp         purenoise                PureNoise 
   663     udp         purenoise                PureNoise 
   664     tcp         asf-secure-rcmp          ASF Secure Remote Management and Control Protocol 
   664     udp         asf-secure-rcmp          ASF Secure Remote Management and Control Protocol 
   664     tcp         secure-aux-bus           Secure Aux Bus 
   664     udp         secure-aux-bus           Secure Aux Bus 
   665     tcp         sun-dr                   Sun DR 
   665     udp         sun-dr                   Sun DR 
   666     tcp         mdqs                     mdqs 
   666     udp         mdqs                     mdqs 
   666     tcp         doom                     doom Id Software 
   666     udp         doom                     doom Id Software 
   666     tcp         AttackFTP                [trojan] Attack FTP 
   666     tcp         BackConstruction         [trojan] Back Construction 
   666     tcp         BLAtrojan                [trojan] BLA trojan 
   666     tcp         Cain&Abel                [trojan] Cain & Abel 
   666     tcp         lpdw0rm                  [trojan] lpdw0rm 
   666     tcp         NokNok                   [trojan] NokNok 
   666     tcp         SatansBackDoor           [trojan] Satans Back Door - SBD 
   666     tcp         ServU                    [trojan] ServU 
   666     tcp         ShadowPhyre              [trojan] Shadow Phyre 
   666     tcp         th3r1pp3rz               [trojan] th3r1pp3rz (= Therippers) 
   667     tcp         disclose                 campaign contribution disclosures - SDR Technologies 
   667     udp         disclose                 campaign contribution disclosures - SDR Technologies 
   667     tcp         SniperNet                [trojan] SniperNet 
   668     tcp         mecomm                   MeComm 
   668     udp         mecomm                   MeComm 
   668     tcp         th3r1pp3rz               [trojan] th3r1pp3rz (= Therippers) 
   669     tcp         meregister               MeRegister 
   669     udp         meregister               MeRegister 
   669     tcp         DPtrojan                 [trojan] DP trojan 
   670     tcp         vacdsm-sws               VACDSM-SWS 
   670     udp         vacdsm-sws               VACDSM-SWS 
   671     tcp         vacdsm-app               VACDSM-APP 
   671     udp         vacdsm-app               VACDSM-APP 
   672     tcp         vpps-qua                 VPPS-QUA 
   672     udp         vpps-qua                 VPPS-QUA 
   673     tcp         cimplex                  CIMPLEX 
   673     udp         cimplex                  CIMPLEX 
   674     tcp         acap                     ACAP 
   674     udp         acap                     ACAP 
   675     tcp         dctp                     DCTP 
   675     udp         dctp                     DCTP 
   676     tcp         vpps-via                 VPPS Via 
   676     udp         vpps-via                 VPPS Via 
   677     tcp         vpp                      Virtual Presence Protocol 
   677     udp         vpp                      Virtual Presence Protocol 
   678     tcp         ggf-ncp                  GNU Gereration Foundation NCP 
   678     udp         ggf-ncp                  GNU Generation Foundation NCP 
   679     tcp         mrm                      MRM 
   679     udp         mrm                      MRM 
   680     tcp         entrust-aaas             entrust-aaas 
   680     udp         entrust-aaas             entrust-aaas 
   681     tcp         entrust-aams             entrust-aams 
   681     udp         entrust-aams             entrust-aams 
   682     tcp         xfr                      XFR 
   682     udp         xfr                      XFR 
   683     tcp         corba-iiop               CORBA IIOP 
   683     udp         corba-iiop               CORBA IIOP 
   684     tcp         corba-iiop-ssl           CORBA IIOP SSL 
   684     udp         corba-iiop-ssl           CORBA IIOP SSL 
   685     tcp         mdc-portmapper           MDC Port Mapper 
   685     udp         mdc-portmapper           MDC Port Mapper 
   686     tcp         hcp-wismar               Hardware Control Protocol Wismar 
   686     udp         hcp-wismar               Hardware Control Protocol Wismar 
   687     tcp         asipregistry             asipregistry 
   687     udp         asipregistry             asipregistry 
   688     tcp         realm-rusd               REALM-RUSD 
   688     udp         realm-rusd               REALM-RUSD 
   689     tcp         nmap                     NMAP 
   689     udp         nmap                     NMAP 
   689     tcp         SLDAP                    LDAP over SSL 
   690     tcp         vatp                     VATP 
   690     udp         vatp                     VATP 
   691     tcp         msexch-routing           MS Exchange Routing 
   691     udp         msexch-routing           MS Exchange Routing 
   692     tcp         hyperwave-isp            Hyperwave-ISP 
   692     udp         hyperwave-isp            Hyperwave-ISP 
   692     tcp         GayOL                    [trojan] GayOL 
   693     tcp         connendp                 connendp 
   693     udp         connendp                 connendp 
   694     tcp         ha-cluster               ha-cluster 
   694     udp         ha-cluster               ha-cluster 
   695     tcp         ieee-mms-ssl             IEEE-MMS-SSL 
   695     udp         ieee-mms-ssl             IEEE-MMS-SSL 
   696     tcp         rushd                    RUSHD 
   696     udp         rushd                    RUSHD 
   697     tcp         uuidgen                  UUIDGEN 
   697     udp         uuidgen                  UUIDGEN 
   698     tcp         olsr                     OLSR 
   698     udp         olsr                     OLSR 
   699     tcp         accessnetwork            Access Network 
   699     udp         accessnetwork            Access Network 
   704     tcp         elcsd                    errlog copy server daemon 
   704     udp         elcsd                    errlog copy server daemon 
   705     tcp         agentx                   AgentX 
   705     udp         agentx                   AgentX 
   706     tcp         silc                     SILC 
   706     udp         silc                     SILC 
   707     tcp         borland-dsj              Borland DSJ 
   707     udp         borland-dsj              Borland DSJ 
   709     tcp         entrust-kmsh             Entrust Key Management Service Handler 
   709     udp         entrust-kmsh             Entrust Key Management Service Handler 
   710     tcp         entrust-ash              Entrust Administration Service Handler 
   710     udp         entrust-ash              Entrust Administration Service Handler 
   711     tcp         cisco-tdp                Cisco TDP 
   711     udp         cisco-tdp                Cisco TDP 
   729     tcp         netviewdm1               IBM NetView DM 6000 Server/Client 
   729     udp         netviewdm1               IBM NetView DM 6000 Server/Client 
   730     tcp         netviewdm2               IBM NetView DM 6000 send/tcp 
   730     udp         netviewdm2               IBM NetView DM 6000 send/tcp 
   731     tcp         netviewdm3               IBM NetView DM 6000 receive/tcp 
   731     udp         netviewdm3               IBM NetView DM 6000 receive/tcp 
   737     udp         sometimes-rpc2           Rusersd on my OpenBSD box 
   740     tcp         netcp                    NETscout Control Protocol 
   740     udp         netcp                    NETscout Control Protocol 
   741     tcp         netgw                    netGW 
   741     udp         netgw                    netGW 
   742     tcp         netrcs                   Network based Rev. Cont. Sys. 
   742     udp         netrcs                   Network based Rev. Cont. Sys. 
   744     tcp         flexlm                   Flexible License Manager 
   744     udp         flexlm                   Flexible License Manager 
   747     tcp         fujitsu-dev              Fujitsu Device Control 
   747     udp         fujitsu-dev              Fujitsu Device Control 
   748     tcp         ris-cm                   Russell Info Sci Calendar Manager 
   748     udp         ris-cm                   Russell Info Sci Calendar Manager 
   749     tcp         kerberos-adm             Kerberos administration 
   749     udp         kerberos-adm             Kerberos administration 
   750     tcp         kerberos-iv              Kerberos v4 
   750     udp         kerberos-iv              Kerberos v4 
   750     tcp         rfile                    rfile 
   750     udp         loadav                   loadav 
   751     tcp         pump                     pump 
   751     udp         pump                     pump 
   751     tcp         kerberos_master          Kerberos `kadmin' (v4) 
   751     udp         kerberos_master          Kerberos `kadmin' (v4) 
   752     tcp         qrh                      qrh 
   752     udp         qrh                      qrh 
   753     tcp         rrh                      rrh 
   753     udp         rrh                      rrh 
   754     tcp         tell                     send 
   754     udp         tell                     send 
   754     tcp         krb_prop                 kerberos v5 server propagation 
   758     tcp         nlogin                   nlogin 
   758     udp         nlogin                   nlogin 
   759     tcp         con                      con 
   759     udp         con                      con 
   760     tcp         ns                       ns 
   760     udp         ns                       ns 
   760     tcp         krbupdate                kreg Kerberos (v4) registration 
   761     tcp         rxe                      rxe 
   761     udp         rxe                      rxe 
   761     tcp         kpasswd                  kpwd Kerberos (v4) passwd 
   762     tcp         quotad                   quotad 
   762     udp         quotad                   quotad 
   763     tcp         cycleserv                cycleserv 
   763     udp         cycleserv                cycleserv 
   764     tcp         omserv                   omserv 
   764     udp         omserv                   omserv 
   765     tcp         webster                  webster 
   765     udp         webster                  webster 
   767     tcp         phonebook                phonebook 
   767     udp         phonebook                phonebook 
   769     tcp         vid                      vid 
   769     udp         vid                      vid 
   770     tcp         cadlock                  cadlock 
   770     udp         cadlock                  cadlock 
   771     tcp         rtip                     rtip 
   771     udp         rtip                     rtip 
   772     tcp         cycleserv2               cycleserv2 
   772     udp         cycleserv2               cycleserv2 
   773     tcp         submit                   submit 
   773     udp         notify                   notify 
   774     tcp         rpasswd                  rpasswd 
   774     udp         acmaint_dbd              acmaint_dbd 
   775     tcp         entomb                   entomb 
   775     udp         acmaint_transd           acmaint_transd 
   776     tcp         wpages                   wpages 
   776     udp         wpages                   wpages 
   777     tcp         multiling-http           Multiling HTTP 
   777     udp         multiling-http           Multiling HTTP 
   777     tcp         AimSpy                   [trojan] AimSpy 
   777     tcp         Undetected               [trojan] Undetected 
   780     tcp         wpgs                     wpgs 
   780     udp         wpgs                     wpgs 
   781     tcp         hp-collector             hp performance data collector 
   781     udp         hp-collector             hp performance data collector 
   782     tcp         hp-managed-node          hp performance data managed node 
   782     udp         hp-managed-node          hp performance data managed node 
   783     tcp         hp-alarm-mgr             hp performance data alarm manager 
   783     udp         hp-alarm-mgr             hp performance data alarm manager 
   786     tcp         concert                  concert 
   786     udp         concert                  concert 
   787     tcp         qsc                      QSC 
   787     udp         qsc                      QSC 
   799     tcp         controlit                controlit 
   800     tcp         mdbs_daemon              mdbs_daemon 
   800     udp         mdbs_daemon              mdbs_daemon 
   801     tcp         device                   device 
   801     udp         device                   device 
   808     tcp         WinHole                  [trojan] WinHole 
   810     tcp         fcp-udp                  FCP 
   810     udp         fcp-udp                  FCP Datagram 
   828     tcp         itm-mcell-s              itm-mcell-s 
   828     udp         itm-mcell-s              itm-mcell-s 
   829     tcp         pkix-3-ca-ra             PKIX-3 CA RA 
   829     udp         pkix-3-ca-ra             PKIX-3 CA RA 
   847     tcp         dhcp-failover2           dhcp-failover 2 
   847     udp         dhcp-failover2           dhcp-failover 2 
   871     tcp         supfilesrv               SUP server 
   873     tcp         rsync                    rsync 
   873     udp         rsync                    rsync 
   886     tcp         iclcnet-locate           ICL coNETion locate server 
   886     udp         iclcnet-locate           ICL coNETion locate server 
   887     tcp         iclcnet_svinfo           ICL coNETion server info 
   887     udp         iclcnet_svinfo           ICL coNETion server info 
   888     tcp         accessbuilder            AccessBuilder 
   888     udp         accessbuilder            AccessBuilder 
   888     tcp         cddbp                    CD Database Protocol 
   900     tcp         omginitialrefs           OMG Initial Refs 
   900     udp         omginitialrefs           OMG Initial Refs 
   900     tcp         fw1-clntauth-http        Check Point FW-1/VPN-1 client auth (http) 
   901     tcp         samba-swat               Samba SWAT tool 
   901     tcp         realsecure               RealSecure sensor 
   901     tcp         smpnameres               SMPNAMERES 
   901     udp         smpnameres               SMPNAMERES 
   902     tcp         ideafarm-chat            IDEAFARM-CHAT 
   902     udp         ideafarm-chat            IDEAFARM-CHAT 
   903     tcp         ideafarm-catch           IDEAFARM-CATCH 
   903     udp         ideafarm-catch           IDEAFARM-CATCH 
   911     tcp         xact-backup              xact-backup 
   911     udp         xact-backup              xact-backup 
   911     tcp         DarkShadow               [trojan] Dark Shadow 
   912     tcp         apex-mesh                APEX relay-relay service 
   912     udp         apex-mesh                APEX relay-relay service 
   913     tcp         apex-edge                APEX endpoint-relay service 
   913     udp         apex-edge                APEX endpoint-relay service 
   953     tcp         rndc                     BIND 9 rndc control socket 
   953     udp         rndc                     BIND 9 rndc control socket (NOTUSED) 
   974     tcp         securenetpro             SecureNet Pro secure comm to console 
   975     tcp         securenetpro             SecureNet Pro sensor 
   989     tcp         ftps-data                ftp data over TLS/SSL 
   989     udp         ftps-data                ftp data over TLS/SSL 
   990     tcp         ftps                     ftp data over TLS/SSL 
   990     udp         ftps                     ftp data over TLS/SSL 
   991     tcp         nas                      Netnews Administration System 
   991     udp         nas                      Netnews Administration System 
   992     tcp         telnets                  telnet protocol over TLS/SSL 
   992     udp         telnets                  telnet protocol over TLS/SSL 
   993     tcp         imaps                    imap4 protocol over TLS/SSL 
   993     udp         imaps                    imap4 protocol over TLS/SSL 
   994     tcp         ircs                     irc protocol over TLS/SSL 
   994     udp         ircs                     irc protocol over TLS/SSL 
   995     tcp         pop3s                    POP3 protocol over TLS/SSL 
   995     udp         pop3s                    pop3 protocol over TLS/SSL (was spop3) 
   996     tcp         vsinet                   vsinet 
   996     udp         vsinet                   vsinet 
   996     tcp         xtreelic                 XTREE License Server 
   997     tcp         maitrd                   maitrd 
   997     udp         maitrd                   maitrd 
   998     tcp         busboy                   busboy 
   998     udp         puparp                   puparp 
   999     tcp         garcon                   garcon 
   999     udp         applix                   Applix ac 
   999     tcp         puprouter                puprouter 
   999     udp         puprouter                puprouter 
   999     tcp         Chatpower                [trojan] Chat power 
   999     tcp         DeepThroat               [trojan] DeepThroat 
   999     tcp         Foreplay                 [trojan] Foreplay 
   999     tcp         WinSatan                 [trojan] WinSatan 
  1000     tcp         cadlock2                 cadlock2 
  1000     udp         cadlock2                 cadlock2 
  1000     tcp         Connecter                [trojan] Connecter 
  1000     tcp         DerSpdher                [trojan] Der Spdher / Der Spaeher 
  1000     tcp         DerSpherDerSpaeher       [trojan] Der Spdher / Der Spaeher 
  1000     tcp         DirectConnection         [trojan] Direct Connection 
  1000     tcp         InsaneNetwork            [trojan] Insane Network 
  1001     tcp         sabserv                  Sabre Desktop Reservation Software for Windows 
  1001     tcp         DerSpdher                [trojan] Der Spdher / Der Spaeher 
  1001     tcp         LeGuardien               [trojan] Le Guardien 
  1001     tcp         Silencer                 [trojan] Silencer 
  1001     tcp         Theef                    [trojan] Theef 
  1001     tcp         WebEx                    [trojan] WebEx 
  1002     tcp         win2k-ils                Microsoft NetMeeting ILS server default port (win2k) 
  1005     tcp         Theef                    [trojan] Theef 
  1008     tcp         Lion                     [trojan] Lion 
  1008     tcp         ufsd                     ufsd UFS-aware server 
  1008     udp         ufsd                     ufsd UFS-aware server 
  1010     tcp         surf                     surf 
  1010     udp         surf                     surf 
  1010     tcp         DolyTrojan               [trojan] Doly Trojan 
  1011     tcp         DolyTrojan               [trojan] Doly Trojan 
  1012     udp         sometimes-rpc1           This is rstatd on my openBSD box box 
  1012     tcp         DolyTrojan               [trojan] Doly Trojan 
  1015     tcp         DolyTrojan               [trojan] Doly Trojan 
  1016     tcp         DolyTrojan               [trojan] Doly Trojan 
  1020     tcp         Vampire                  [trojan] Vampire 
  1023     tcp         gs400-nas                Linux backend of Gateway GS-400 NAS 
  1024     tcp         kdm                      K Display Manager (KDE version of xdm) xdm) 
  1024     tcp         Jade                     [trojan] Jade 
  1024     tcp         Latinus                  [trojan] Latinus 
  1024     tcp         NetSpy                   [trojan] NetSpy 
  1024     tcp         RAT                      [trojan] Remote Administration Tool - RAT [no 2] 
  1025     tcp         blackjack                network blackjack 
  1025     udp         blackjack                network blackjack 
  1025     tcp         listen                   listener RFS remote_file_sharing 
  1025     tcp         shoppro                  ShopPro accounting software 
  1025     tcp         FraggleRock              [trojan] Fraggle Rock 
  1025     tcp         md5Backdoor              [trojan] md5 Backdoor 
  1025     tcp         NetSpy                   [trojan] NetSpy 
  1025     tcp         RemoteStorm              [trojan] Remote Storm 
  1025     udp         RemoteStorm              [trojan] Remote Storm 
  1026     tcp         nterm                    remote_login network_terminal 
  1027     tcp         ICKiller                 [trojan] ICKiller 
  1029     tcp         ICQNuke98                [trojan] ICQ Nuke 98 
  1029     tcp         InCommand                [trojan] InCommand 
  1030     tcp         iad1                     BBN IAD 
  1030     udp         iad1                     BBN IAD 
  1031     tcp         iad2                     BBN IAD 
  1031     udp         iad2                     BBN IAD 
  1031     tcp         Xanadu                   [trojan] Xanadu 
  1032     tcp         iad3                     BBN IAD 
  1032     udp         iad3                     BBN IAD 
  1035     tcp         Multidropper             [trojan] Multidropper 
  1040     tcp         netarx                   Netarx 
  1040     udp         netarx                   Netarx 
  1042     tcp         BLAtrojan                [trojan] BLA trojan 
  1042     udp         BLAtrojan                [trojan] BLA trojan 
  1045     tcp         Rasmin                   [trojan] Rasmin 
  1047     tcp         neod1                    Sun's NEO Object Request Broker 
  1047     udp         neod1                    Sun's NEO Object Request Broker 
  1048     tcp         neod2                    Sun's NEO Object Request Broker 
  1048     udp         neod2                    Sun's NEO Object Request Broker 
  1049     tcp         sbininitd                [trojan] /sbin/initd 
  1049     tcp         td-postman               Tobit David Postman VPMN 
  1049     udp         td-postman               Tobit David Postman VPMN 
  1050     tcp         cma                      CORBA Management Agent 
  1050     udp         cma                      CORBA Management Agent 
  1050     tcp         MiniCommand              [trojan] MiniCommand 
  1051     tcp         optima-vnet              Optima VNET 
  1051     udp         optima-vnet              Optima VNET 
  1052     tcp         ddt                      Dynamic DNS Tools 
  1052     udp         ddt                      Dynamic DNS Tools 
  1053     tcp         remote-as                Remote Assistant (RA) 
  1053     udp         remote-as                Remote Assistant (RA) 
  1053     tcp         TheThief                 [trojan] The Thief 
  1054     tcp         brvread                  BRVREAD 
  1054     udp         brvread                  BRVREAD 
  1054     tcp         AckCmd                   [trojan] AckCmd 
  1055     tcp         ansyslmd                 ANSYS - License Manager 
  1055     udp         ansyslmd                 ANSYS - License Manager 
  1056     tcp         vfo                      VFO 
  1056     udp         vfo                      VFO 
  1057     tcp         startron                 STARTRON 
  1057     udp         startron                 STARTRON 
  1058     tcp         nim                      nim 
  1058     udp         nim                      nim 
  1059     tcp         nimreg                   nimreg 
  1059     udp         nimreg                   nimreg 
  1060     tcp         polestar                 POLESTAR 
  1060     udp         polestar                 POLESTAR 
  1061     tcp         kiosk                    KIOSK 
  1061     udp         kiosk                    KIOSK 
  1062     tcp         veracity                 Veracity 
  1062     udp         veracity                 Veracity 
  1063     tcp         kyoceranetdev            KyoceraNetDev 
  1063     udp         kyoceranetdev            KyoceraNetDev 
  1064     tcp         jstel                    JSTEL 
  1064     udp         jstel                    JSTEL 
  1065     tcp         syscomlan                SYSCOMLAN 
  1065     udp         syscomlan                SYSCOMLAN 
  1066     tcp         fpo-fns                  FPO-FNS 
  1066     udp         fpo-fns                  FPO-FNS 
  1067     tcp         instl_boots              Installation Bootstrap Proto. Serv. 
  1067     udp         instl_boots              Installation Bootstrap Proto. Serv. 
  1068     tcp         instl_bootc              Installation Bootstrap Proto. Cli. 
  1068     udp         instl_bootc              Installation Bootstrap Proto. Cli. 
  1069     tcp         cognex-insight           COGNEX-INSIGHT 
  1069     udp         cognex-insight           COGNEX-INSIGHT 
  1070     tcp         gmrupdateserv            GMRUpdateSERV 
  1070     udp         gmrupdateserv            GMRUpdateSERV 
  1071     tcp         bsquare-voip             BSQUARE-VOIP 
  1071     udp         bsquare-voip             BSQUARE-VOIP 
  1072     tcp         cardax                   CARDAX 
  1072     udp         cardax                   CARDAX 
  1073     tcp         bridgecontrol            BridgeControl 
  1073     udp         bridgecontrol            BridgeControl 
  1074     tcp         fastechnologlm           FASTechnologies License Manager 
  1074     udp         fastechnologlm           FASTechnologies License Manager 
  1075     tcp         rdrmshc                  RDRMSHC 
  1075     udp         rdrmshc                  RDRMSHC 
  1076     tcp         dab-sti-c                DAB STI-C 
  1076     udp         dab-sti-c                DAB STI-C 
  1077     tcp         imgames                  IMGames 
  1077     udp         imgames                  IMGames 
  1078     tcp         emanagecstp              eManageCstp 
  1078     udp         emanagecstp              eManageCstp 
  1079     tcp         asprovatalk              ASPROVATalk 
  1079     udp         asprovatalk              ASPROVATalk 
  1080     tcp         socks                    socks 
  1080     udp         socks                    socks 
  1080     tcp         SubSeven2.2              [trojan] SubSeven 2.2 
  1080     tcp         WinHole                  [trojan] WinHole 
  1081     tcp         pvuniwien                PVUNIWIEN 
  1081     udp         pvuniwien                PVUNIWIEN 
  1081     tcp         WinHole                  [trojan] WinHole 
  1082     tcp         amt-esd-prot             AMT-ESD-PROT 
  1082     udp         amt-esd-prot             AMT-ESD-PROT 
  1082     tcp         WinHole                  [trojan] WinHole 
  1083     tcp         ansoft-lm-1              Anasoft License Manager 
  1083     udp         ansoft-lm-1              Anasoft License Manager 
  1083     tcp         WinHole                  [trojan] WinHole 
  1084     tcp         ansoft-lm-2              Anasoft License Manager 
  1084     udp         ansoft-lm-2              Anasoft License Manager 
  1085     tcp         webobjects               Web Objects 
  1085     udp         webobjects               Web Objects 
  1086     tcp         cplscrambler-lg          CPL Scrambler Logging 
  1086     udp         cplscrambler-lg          CPL Scrambler Logging 
  1087     tcp         cplscrambler-in          CPL Scrambler Internal 
  1087     udp         cplscrambler-in          CPL Scrambler Internal 
  1088     tcp         cplscrambler-al          CPL Scrambler Alarm Log 
  1088     udp         cplscrambler-al          CPL Scrambler Alarm Log 
  1089     tcp         ff-annunc                FF Annunciation 
  1089     udp         ff-annunc                FF Annunciation 
  1090     tcp         ff-fms                   FF Fieldbus Message Specification 
  1090     udp         ff-fms                   FF Fieldbus Message Specification 
  1090     tcp         Xtreme                   [trojan] Xtreme 
  1091     tcp         ff-sm                    FF System Management 
  1091     udp         ff-sm                    FF System Management 
  1092     tcp         obrpd                    OBRPD 
  1092     udp         obrpd                    OBRPD 
  1093     tcp         proofd                   PROOFD 
  1093     udp         proofd                   PROOFD 
  1094     tcp         rootd                    ROOTD 
  1094     udp         rootd                    ROOTD 
  1095     tcp         nicelink                 NICELink 
  1095     udp         nicelink                 NICELink 
  1095     tcp         RAT                      [trojan] Remote Administration Tool - RAT 
  1096     tcp         cnrprotocol              Common Name Resolution Protocol 
  1096     udp         cnrprotocol              Common Name Resolution Protocol 
  1097     tcp         RAT                      [trojan] Remote Administration Tool - RAT 
  1097     tcp         sunclustermgr            Sun Cluster Manager 
  1097     udp         sunclustermgr            Sun Cluster Manager 
  1098     tcp         RAT                      [trojan] Remote Administration Tool - RAT 
  1098     tcp         rmiactivation            RMI Activation 
  1098     udp         rmiactivation            RMI Activation 
  1099     tcp         rmiregistry              RMI Registry 
  1099     udp         rmiregistry              RMI Registry 
  1099     tcp         BloodFestEvolution       [trojan] Blood Fest Evolution 
  1099     tcp         RAT                      [trojan] Remote Administration Tool - RAT 
  1100     tcp         mctp                     MCTP 
  1100     udp         mctp                     MCTP 
  1101     tcp         pt2-discover             PT2-DISCOVER 
  1101     udp         pt2-discover             PT2-DISCOVER 
  1102     tcp         adobeserver-1            ADOBE SERVER 1 
  1102     udp         adobeserver-1            ADOBE SERVER 1 
  1103     tcp         adobeserver-2            ADOBE SERVER 2 
  1103     udp         adobeserver-2            ADOBE SERVER 2 
  1103     tcp         xaudio                   Xaserver X Audio Server 
  1104     tcp         xrl                      XRL 
  1104     udp         xrl                      XRL 
  1104     udp         RexxRave                 [trojan] RexxRave 
  1105     tcp         ftranhc                  FTRANHC 
  1105     udp         ftranhc                  FTRANHC 
  1106     tcp         isoipsigport-1           ISOIPSIGPORT-1 
  1106     udp         isoipsigport-1           ISOIPSIGPORT-1 
  1107     tcp         isoipsigport-2           ISOIPSIGPORT-2 
  1107     udp         isoipsigport-2           ISOIPSIGPORT-2 
  1108     tcp         ratio-adp                ratio-adp 
  1108     udp         ratio-adp                ratio-adp 
  1109     tcp         kpop                     Pop with Kerberos 
  1110     tcp         nfsd-status              Cluster status info 
  1110     udp         nfsd-keepalive           Client status info 
  1111     tcp         lmsocialserver           LM Social Server 
  1111     udp         lmsocialserver           LM Social Server 
  1112     tcp         icp                      Intelligent Communication Protocol 
  1112     udp         icp                      Intelligent Communication Protocol 
  1112     tcp         msql                     mini-sql server 
  1114     tcp         mini-sql                 Mini SQL 
  1114     udp         mini-sql                 Mini SQL 
  1115     tcp         ardus-trns               ARDUS Transfer 
  1115     udp         ardus-trns               ARDUS Transfer 
  1116     tcp         ardus-cntl               ARDUS Control 
  1116     udp         ardus-cntl               ARDUS Control 
  1117     tcp         ardus-mtrns              ARDUS Multicast Transfer 
  1117     udp         ardus-mtrns              ARDUS Multicast Transfer 
  1122     tcp         availant-mgr             availant-mgr 
  1122     udp         availant-mgr             availant-mgr 
  1123     tcp         murray                   Murray 
  1123     udp         murray                   Murray 
  1127     tcp         supfiledbg               SUP debugging 
  1150     tcp         Orion                    [trojan] Orion 
  1151     tcp         Orion                    [trojan] Orion 
  1155     tcp         nfa                      Network File Access 
  1155     udp         nfa                      Network File Access 
  1161     tcp         health-polling           Health Polling 
  1161     udp         health-polling           Health Polling 
  1162     tcp         health-trap              Health Trap 
  1162     udp         health-trap              Health Trap 
  1167     udp         phone                    conference calling 
  1169     tcp         Tripwire                 TrIPWIRE 
  1169     udp         Tripwire                 TrIPWIRE 
  1170     tcp         PsyberStreamServer       [trojan] Psyber Stream Server - PSS 
  1170     tcp         StreamingAudioServer     [trojan] Streaming Audio Server 
  1170     tcp         Voice                    [trojan] Voice 
  1174     tcp         DaCryptic                [trojan] DaCryptic 
  1178     tcp         skkserv                  SKK (kanji input) 
  1180     tcp         mc-client                Millicent Client Proxy 
  1180     udp         mc-client                Millicent Client Proxy 
  1180     tcp         Unin68                   [trojan] Unin68 
  1183     tcp         laplink-ssl              LapLink Surf-up SSL 
  1184     tcp         laplink                  LapLink Surf-up 
  1185     tcp         catchpole                Catchpole port 
  1185     udp         catchpole                Catchpole port 
  1188     tcp         hp-webadmin              HP Web Admin 
  1188     udp         hp-webadmin              HP Web Admin 
  1199     tcp         dmidi                    DMIDI 
  1199     udp         dmidi                    DMIDI 
  1200     tcp         scol                     SCOL 
  1200     udp         scol                     SCOL 
  1200     udp         NoBackO                  [trojan] NoBackO 
  1201     tcp         nucleus-sand             Nucleus Sand 
  1201     udp         nucleus-sand             Nucleus Sand 
  1201     udp         NoBackO                  [trojan] NoBackO 
  1202     tcp         caiccipc                 caiccipc 
  1202     udp         caiccipc                 caiccipc 
  1203     tcp         ssslic-mgr               License Validation 
  1203     udp         ssslic-mgr               License Validation 
  1204     tcp         ssslog-mgr               Log Request Listener 
  1204     udp         ssslog-mgr               Log Request Listener 
  1205     tcp         accord-mgc               Accord-MGC 
  1205     udp         accord-mgc               Accord-MGC 
  1206     tcp         anthony-data             Anthony Data 
  1206     udp         anthony-data             Anthony Data 
  1207     tcp         metasage                 MetaSage 
  1207     udp         metasage                 MetaSage 
  1207     tcp         SoftWAR                  [trojan] SoftWAR 
  1208     tcp         seagull-ais              SEAGULL AIS 
  1208     udp         seagull-ais              SEAGULL AIS 
  1208     tcp         Infector                 [trojan] Infector 
  1209     tcp         ipcd3                    IPCD3 
  1209     udp         ipcd3                    IPCD3 
  1210     tcp         eoss                     EOSS 
  1210     udp         eoss                     EOSS 
  1211     tcp         groove-dpp               Groove DPP 
  1211     udp         groove-dpp               Groove DPP 
  1212     tcp         lupa                      
  1212     udp         lupa                      
  1212     tcp         Kaos                     [trojan] Kaos 
  1213     tcp         mpc-lifenet              MPC LIFENET 
  1213     udp         mpc-lifenet              MPC LIFENET 
  1214     tcp         kazaa                    KAZAA file sharing app 
  1214     udp         kazaa                    KAZAA file sharing app 
  1214     tcp         Morpheous                Morpheous file sharing app 
  1214     udp         Morpheous                Morpheous file sharing app 
  1214     tcp         Grokster                 Grokster file sharing app 
  1214     udp         Grokster                 Grokster file sharing app 
  1215     tcp         scanstat-1               scanSTAT 1.0 
  1215     udp         scanstat-1               scanSTAT 1.0 
  1216     tcp         etebac5                  ETEBAC 5 
  1216     udp         etebac5                  ETEBAC 5 
  1217     tcp         hpss-ndapi               HPSS-NDAPI 
  1217     udp         hpss-ndapi               HPSS-NDAPI 
  1218     tcp         aeroflight-ads           AeroFlight-ADs 
  1218     udp         aeroflight-ads           AeroFlight-ADs 
  1219     tcp         aeroflight-ret           AeroFlight-Ret 
  1219     udp         aeroflight-ret           AeroFlight-Ret 
  1220     tcp         qt-serveradmin           QT SERVER ADMIN 
  1220     udp         qt-serveradmin           QT SERVER ADMIN 
